Series Name,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Trained teachers in primary education (% of total teachers),St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),St. Vincent and the Grenadines,VCT,..,..,..,85.29075623,82.69663239,76.05139923,84.28093719,..,66.51934052,61.06869888,..,..
Trained teachers in primary education (% of total teachers),Sudan,SDN,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Suriname,SUR,..,..,96.37294769,97.5891571,97.24285889,97.39691925,97.97960663,98.19265747,98.38011169,98.95133209,..,..
Trained teachers in primary education (% of total teachers),Sweden,SWE,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Switzerland,CHE,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Syrian Arab Republic,SYR,..,89.21264648,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Tajikistan,TJK,..,..,93.66168213,93.91297913,94.07849884,100,100,100,100,..,..,..
Trained teachers in primary education (% of total teachers),Tanzania,TZA,..,..,..,..,98.98621368,..,..,99.19595337,..,..,..,..
Trained teachers in primary education (% of total teachers),Thailand,THA,..,..,..,..,..,100,100,100,100,..,100,..
Trained teachers in primary education (% of total teachers),Timor-Leste,TLS,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Togo,TGO,..,..,70.79670715,82.13861084,76.06690979,..,73.32920074,..,..,..,76.70950317,..
Trained teachers in primary education (% of total teachers),Tonga,TON,..,..,..,..,99.55223846,97.05882263,92.48407745,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Trinidad and Tobago,TTO,..,76.07731628,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Tunisia,TUN,..,..,..,100,100,100,100,100,100,100,..,..
Trained teachers in primary education (% of total teachers),Turkey,TUR,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,..,99.20272827,..
Trained teachers in primary education (% of total teachers),Turks and Caicos Islands,TCA,..,..,..,..,..,89.12281036,..,..,..,42.78845978,..,..
Trained teachers in primary education (% of total teachers),Tuvalu,TUV,..,..,..,..,..,..,..,76.62338257,..,80,78.30188751,..
Trained teachers in primary education (% of total teachers),Uganda,UGA,..,..,..,..,..,..,..,..,79.58579254,..,..,..
Trained teachers in primary education (% of total teachers),Ukraine,UKR,..,98.57280731,99.87239075,99.88831329,..,..,..,86.02861023,86.7609787,87.30053711,89.11279297,..
